Date;Puissance moyenne journaliere de injection RTE;Puissance moyenne journaliere du refoulement RTE;Puissance moyenne journaliere des pertes modelisees;Energie moyenne journaliere des consommations totales;Energie moyenne journaliere des consommations HTA profilees;Puissance moyenne journaliere de la production decentralisee totale;Puissance moyenne journaliere de la production decentralisee profilee;Puissance moyenne journaliere de la production photovoltaique profilee;Temperature moyenne journaliere realisee;Temperature moyenne journaliere normale;Temperature moyenne journaliere realisee lissee;Temperature moyenne journaliere normale lissee;Puissance moyenne journaliere de la production eolienne totale;Puissance moyenne journaliere de la production photovoltaique totale;Puissance moyenne journaliere de la production autre;mois;Puissance moyenne journaliere du soutirage net vers autres GRD;Energie moyenne journaliere des consommations HTA telerelevees a courbe de charge;Energie moyenne journaliere des consommations totales profilees;Puissance moyenne journaliere de la production decentralisee telerelevee a courbe de charge;Puissance moyenne journaliere de la production autre profilee;Categorie client;Puissance moyenne journaliere
2014-01-17;49750594250.0;1382388458.33333;3372890292.27083;50654513057.3958;2007378323.85417;6163278977.83333;144368254.5;112398610.145833;7.63020833333333;4.9;7.65625;5.04166666666667;3420935934.35417;256252914.666667;2486087424.22917;1;504081419.791667;13098837893.75;37555675163.6458;6018910723.33333;2554523.0;Residentiels;23385711331.6875
2014-01-17;49750594250.0;1382388458.33333;3372890292.27083;50654513057.3958;2007378323.85417;6163278977.83333;144368254.5;112398610.145833;7.63020833333333;4.9;7.65625;5.04166666666667;3420935934.35417;256252914.666667;2486087424.22917;1;504081419.791667;13098837893.75;37555675163.6458;6018910723.33333;2554523.0;Entreprises;15106216217.60417
2014-01-18;45774346229.1667;1148682458.33333;3430576300.54167;46262508262.2917;1347199655.5625;5567450748.54167;144371526.666667;112401844.5;7.13333333333333;4.9375;7.51666666666667;5.06666666666667;2926760972.3125;167344954.125;2473341899.583333;1;500029956.4583337;9744632771.04167;36517875491.25;5423079221.875;2554523.0;Residentiels;24634168829.4583
2014-01-27;52442685375.0;1697544729.16667;3654188048.85417;53332867348.3333;2221319381.64583;6781795453.20833;179703599.666667;146975503.229167;5.58645833333333;5.33645833333333;6.39791666666667;5.47083333333333;4050096585.45833;287647262.395833;2444048077.104167;1;539880701.875;13226506543.125;40106360805.2083;6602091853.54167;2554439.0;Entreprises;15447825924.77083
2014-02-04;52362655895.8333;1452834083.33333;3631813398.35417;53173151082.7292;2235366251.10417;6422010523.35417;196350314.8125;161740898.895833;6.471875;5.76145833333333;5.94583333333333;5.89791666666667;3658146044.08333;350296503.75;2413538633.062497;2;526867854.666667;13328029286.25;39845121796.4792;6225660208.54167;5399953.0;Professionnels;6811147535.79167
2014-02-07;48823884291.6667;2447065937.5;3284711185.0;50399708371.4375;2079544034.875;7799136624.47917;196708229.6875;162082730.145833;9.04791666666667;5.9;8.025;6.07708333333333;5031891603.27083;301146126.729167;2466031057.375;2;491535422.2500003;12948877501.25;37450830870.1875;7602428394.79167;5398853.0;Residentiels;22944456527.7917
2014-02-09;44866589104.1667;2465390208.33333;3342084393.3125;46120082480.3333;1415477148.27083;7539229768.97917;196671694.1875;162104162.979167;6.45104166666667;6.01458333333333;7.175;6.1875;4719111051.60417;323896426.229167;2496155208.062497;2;478261791.0625003;8657715253.75;37462367226.5833;7342558074.79167;5398853.0;PME / PMI;4548918013.72917
2014-02-09;44866589104.1667;2465390208.33333;3342084393.3125;46120082480.3333;1415477148.27083;7539229768.97917;196671694.1875;162104162.979167;6.45104166666667;6.01458333333333;7.175;6.1875;4719111051.60417;323896426.229167;2496155208.062497;2;478261791.0625003;8657715253.75;37462367226.5833;7342558074.79167;5398853.0;Professionnels;5531193899.60417
2014-02-12;52134803937.5;1708023020.83333;3606510930.4375;53292415312.1458;2266545271.91667;6993424730.27083;219789105.6875;184611934.5625;6.62291666666667;6.18645833333333;6.76875;6.35416666666667;4109238304.27083;419269164.583333;2464881843.58333;2;521279404.2916667;13515292007.7083;39777123304.4375;6773635624.58333;5398889.0;Residentiels;24495678538.4375
2014-02-16;42681672375.0;878691750.0;3129970786.0625;43177675018.625;1355864615.66667;4972867185.35417;219885942.645833;184636277.979167;7.31354166666667;6.40208333333333;8.05;6.6;2157452081.91667;299492061.979167;2515928310.249996;2;468202005.7291663;8517143305.41667;34660531713.2083;4752981242.70833;5390113.0;Residentiels;23805514933.4583
